등록번호,청구기호,서명,저자,발행자,발행년,가격
BRP000452936,777.5-이67ㅇ,(완전 절친) 여행 스페인어,"이유림,글로벌21 어학연구소 지음",더원,2019,"9,000"
BRP000452937,757.5-젠79ㄷ,(말하기가 10배 빨라지는) 독일어회화 : 10배속,Jenjira Seriyothin 지음 ; 권우현 옮김,혜지원,2019,"12,000"
BRP000452938,740.77-황69ㅌ,(15개 템플릿으로 끝내는) TOEIC speaking : 필수 전략서,"황인기,시원스쿨어학연구소 지음",시원스쿨 Lab,2020,"12,800"
BRP000452939,740-세236ㅇ,"50대, 당신도 영어를 끝낼 수 있다 : 오십에 영어를 정복한 사회인 영어클럽의 비밀",세료인 류스이 지음 ; 서슬기 옮김,행성B(행성비),2019,"15,000"
BRP000452940,739.82-박34ㅇ,Enjoy 여행 베트남어 : 베트남 여행 처음 갈 때 이 책!,박명화 지음,넥서스,2020,"7,900"
BRP000452941,326.39077-백18ㄱ,관광통역안내사 영어면접 한번에 합격하기,백근영 지음,크라운출판사,2020,"25,000"
BRP000452942,739.81-신18ㅌ=2,(내게는 특별한) 태국어를 부탁해 : 첫걸음,"신근혜,케와린 시무앙 지음 ; 윤병철 일러스트",다락원,2019,"17,000"
BRP000452943,757.5-박69ㄷ,(언제 어디서나 통하는) 독일어 일상회화사전,박일균 지음,정진출판사,2019,"12,000"
BRP000452944,710-모53ㅂ,바른 한국어 사용과 습득을 위하여,모세종 지음,제이앤씨,2019,"15,000"
BRP000452945,739.82-김96ㅂ,베트남어회화 100일의 기적 : 100일 후에는 나도 베트남어로 말한다!,김효정 지음·강의,넥서스,2020,"13,800"
BRP000452946,747.5-스828-8,(30장면으로 끝내는) 스크린 영어회화 : 알라딘,라이언 강 해설,길벗이지톡,2019,"18,000"
BRP000452947,747.5-스828-9,(30장면으로 끝내는) 스크린 영어회화 : 코코,라이언 강 해설,길벗이지톡,2018,"18,000"
BRP000452948,727.5-장239ㅅ,시뮬레이션 비즈니스 중국어=模?商??? : 실용중국어시험 BCT 만점 도전!,장린자 지음,Huine,2019,"24,000"
BRP000452949,740.77-시67ㅅ,시원스쿨 처음토익 : LC+RC+voca,시원스쿨어학연구소 지음,에스제이더블유인터내셔널,2019,"14,900"
BRP000452950,779-김91ㅂ,브라질·포르투갈어 첫걸음 : 평등한 언어 세상을 위한 시작,김한철 지음,언어평등,2019,"15,000"
BRP000452951,744-이37ㅇ,영단어는 어원이다 : 모르는 단어도 순식간에 유추가 되는 과학적 암기법. 기초편,이문필 편저,베이직북스,2019,"9,500"
BRP000452952,744-이37ㅇ,영단어는 어원이다 : 모르는 단어도 순식간에 유추가 되는 과학적 암기법. 실력편,이문필 편저,베이직북스,2019,"9,500"
BRP000452953,739.81-이73ㅌ,(영상으로 즐기는) 태국어=?????????????????????????????,이정윤 지음,Huine,2019,"30,000"
BRP000452954,740-지55ㅇ,영어를 공부하는 이유 : 가장 강력한 영어 학습의 모티브!,지소철 지음,골드핀치,2019,"16,000"
BRP000452955,715.9-김39ㄷ,(영어학자의 눈에 비친) 두 얼굴의 한국어 존대법=Double-faced Korean honorification,김미경 지음,소명출판,2020,"15,000"
BRP000452956,727-파15ㅇ-1,이까짓 중국어 : 중급 Step. 1,"파고다교육그룹 언어교육연구소,장위안 공저",파고다books,2016,"12,000"
BRP000452957,727-파15ㅇ-2,이까짓 중국어 : 중급 Step. 2,"파고다교육그룹 언어교육연구소,장위안 공저",파고다books,2016,"12,000"
BRP000452958,735-오39ㅇ,일본어 문어문법,오미영 저,Soognsil University,2019,"13,000"
BRP000452959,739.82-김96ㅈ,작심 3일 10번으로 베트남어 끝내기 : 기초 문법,김효정 지음,랭기지플러스,2020,"13,500"
BRP000452960,745-마847ㅈ,"조승연의 비법 영어 : 흐르듯 문법과 문화독해력이 술술, 조승연의 영어공부법",마풀어학연구소 지음,서울문화사,2019,"14,800"
BRP000452961,727.5-왕59ㅈ,중국어 지금 시작해 : 일 년 후 달라진 나를 만나고 싶다면,왕심린 저,동양북스,2020,"14,500"
BRP000452962,740.7-두64ㅈ,중학교 3학년 영어공부법,두예슬 지음,북코디,2020,"14,500"
BRP000452963,741.1-니825ㅍ,파닉스=Phonics,니콜 지음,Pub.365(삼육오),2019,"11,800"
BRP000452964,737.5-이67ㅍ,(즉석에서 가장 많이 활용하는) 프리토킹 일본어회화 완전정복,이원준 저,Bansok(반석출판사),2020,"18,000"
BRP000452965,739.82-김64ㅂ,(하이 hay 재미있는) 베트남어 첫걸음 : 왕초보도 괜찮아!,"김연진,김민기 지음",다락원,2020,"14,500"
BRP000452966,730.77-나237ㅈ,(진짜 한 권으로 끝내는) JLPT 단어장 : N3·N2·N1,"나루미,시원스쿨일본어연구소 지음",시원스쿨닷컴:에스제이더블유인터내셔널,2019,"12,800"
BRP000452967,739.82-미58ㅂ,(한눈에 보인다) 베트남어 첫걸음 : 처음부터 끝까지 쉽고 친절한 베트남어 입문서,"Mr. Sun 어학연구소,Nuyen Thi Nhu Hoa [공]지음",Old Stairs,2020,"15,500"
BRP000452968,714.4-김67ㄱ,고사성어 사전 : 한마디의 인문학,김원중 편저,Humanist,2020,"32,000"
BRP000452969,770-신58ㅎ=2,해 봐! 하루 10분 왕초보 스페인어,신승 지음,랭기지플러스,2020,"14,000"
BRP000452970,760-김71ㅎ,해 봐! 하루 10분 왕초보 프랑스어,"김자연,이하임,김영란 지음",랭기지플러스,2020,"14,500"
BRP000453297,840.9-오39ㅈ,저항의 방식 : 캐나다 현대 원주민 문학의 지평,오민석 지음,살림,2019,"13,000"
BRP000453302,325.26-김813ㅌ,(팀원을 제대로 지도하고 상사의 가려운 곳을 긁어주는) 팀장을 위한 보고서 검토 기술,김철수 지음,새로운 제안,2019,"14,000"
BRP000453303,188.5-박98ㅅ,사주 명리학의 핵심,박흥식 지음,삼한출판사,1996,"39,000"
BRP000453304,188.5-양811ㅁ,명리심리학 : 사는 게 내 마음 같지 않을 때,양창순 지음,다산북스,2020,"16,000"
BRP000453305,833.6-오818ㅇ,일곱 번째 방=Seven rooms,오츠이치 지음 ; 김수현 옮김,고요한숨,2020,"15,000"
BRP000453306,818-이53ㄱ,결혼하기 전에 한 번은 혼자 살아보고 싶어 : 혼자 살아보고 싶은 이들이 알아야 할 모든 것,이선주 지음,푸른향기,2019,"13,900"
BRP000453307,373.4-영58ㅇ,"울트라러닝, 세계 0.1％가 지식을 얻는 비밀",스콧 영 지음 ; 이한이 옮김,비지니스북스,2020,"16,000"
BRP000453308,823.7-지63ㅊ-23,천재소독비. 23,"지에모 지음 ; 전정은,홍지연 옮김",파란썸,2020,"15,000"
BRP000453309,823.7-지63ㅊ-24,천재소독비. 24,"지에모 지음 ; 전정은,홍지연 옮김",파란썸,2020,"15,000"
BRP000453310,320.01-이66ㄱ-3,"경제의 속살. 3, 불평등 편",이완배 지음,민중의소리,2020,"15,000"
BRP000453311,320.01-이66ㄱ-4,"경제의 속살. 4, 정치 편",이완배 지음,민중의소리,2020,"15,000"
BRP000453312,001.3-포845ㅈ,진리의 발견 : 앞서 나간 자들,마리아 포포바 지음 ; 지여울 옮김,다른,2020,"44,000"
BRP000453313,340.265-안73ㅁ,마키아벨리 읽기,안정석 지음,세창미디어,2017,"13,500"
BRP000453314,413.1-송69ㅎ,확률변수론,송익호 지음,생능출판,2020,"30,000"
BRP000453315,327.87-김225ㅈ,"(아파트와 상가, 토지) 지분경매 실전투자의 비밀 : 공유물의 관리 방법과 부동산 지분투자 교과서!",김동희 지음,채움과사람들,2019,"38,000"
BRP000453316,813.7-권53ㅇ-1,이웃집 악당 : 권세연 장편소설. 1,권세연 지음,가연,2020,"13,000"
BRP000453317,813.7-권53ㅇ-2,이웃집 악당 : 권세연 장편소설. 2,권세연 지음,가연,2020,"13,000"
BRP000453318,013.33-브235ㅅ,서울의 3년 이하 서점들 : 책 팔아서 먹고살 수 있느냐고 묻는다면?,브로드컬리 편집부 [지음],Broadcally,2016,"15,000"
BRP000453319,818-박811ㅇ,우리가 이 도시의 주인공은 아닐지라도,박찬용 지음,웅진지식하우스,2020,"16,000"
BRP000453320,337.2-수59ㄱ-1,곤=Gone. 1,수신지 글·그림,귤프레스,2019,"14,800"
BRP000453321,480-이211ㅅ=2,(재밌어서 밤새 읽는) 식물학 이야기,이나가키 히데히로 지음 ; 박현아 옮김,더숲,2019,"12,000"
BRP000453322,818-홍58ㄷ=2,당신이 글을 쓰면 좋겠습니다 : 나와 당신을 돌보는 글쓰기 수업,홍승은 지음,어크로스,2020,"14,000"
BRP000453323,813.7-전97ㅇ,영원한 너의 거짓말 : 전후치장편소설,전후치 지음,동아,2020,"13,000"
BRP000453324,909-만31ㅇ,1493 : 콜럼버스가 문을 연 호모제노센 세상,찰스 만 지음 ; 최희숙 옮김,황소자리,2020,"25,000"
BRP000453325,337.2-위839ㅁ,모니크 위티그의 스트레이트 마인드 : 이성애 제도에 대한 전복적 시선,모니크 위티그 지음 ; 허윤 옮김,행성비,2020,"17,000"
BRP000453326,813.7-김79ㅋ,콜 유어 네임 : 김지호·시리얼 장편소설,"김지호,시리얼 지음",연필,2020,"10,000"
BRP000453327,813.7-김69ㄴ,너의 바이라인 : 김이비 장편소설,김이비 지음,파란,2020,"13,000"
BRP000453328,818-전55ㅅ=2,술먹고 전화해도 되는데 : 배우 전소민 에세이,전소민 지음,부크럼,2020,"14,500"
BRP000453329,327.85-슈67ㅈ,"주식시장의 마법사들 : 연평균 수익률 70%, 90%, 그리고 220% 시장을 이기는 마법을 찾아서!",잭 슈웨거 지음 ; 김인정 옮김,이레미디어,2017,"21,000"
BRP000453330,823.7-지63ㅊ-21,천재소독비. 21,"지에모 지음 ; 전정은,홍지연 옮김",파란썸,2020,"15,000"
BRP000453331,823.7-지63ㅊ-22,천재소독비. 22,"지에모 지음 ; 전정은,홍지연 옮김",파란썸,2020,"15,000"
BRP000453333,331.48-이69ㅇ-3,"안녕, 둔촌주공아파트 : 세 번째 이야기, 어린시절 우리들의 놀이터",이인규 지음,마을에숨어,2015,"13,000"
BRP000453334,813.7-김69ㄴ=2,너의 바이라인 : 김이비 장편소설,김이비 지음,파란,2020,"13,000"
BRP000453335,813.7-한75ㅂ-1,바람은 감은 눈 위로 : 한조 장편소설. 1,한조 지음,가하,2020,"11,800"
BRP000453336,813.7-한75ㅂ-2,바람은 감은 눈 위로 : 한조 장편소설. 2,한조 지음,가하,2020,"11,800"
BRP000453337,334.1-사96ㅅ,"사회적기업, 생각",사회적기업 불나방 지음,BOOKK(부크크),2020,"12,800"
BRP000453338,833.6-우63ㅋ,카페 고양이 나무 이야기 : 우에하라 스이 소설,우에하라 스이 지음 ; 김유라 옮김,민음사,2020,"14,000"
BRP000453339,802-정98ㄴ,나를 알기 위해서 쓴다,정희진 지음,교양인,2020,"14,000"
BRP000453340,813.7-리43,리벤지 바이 블러드=Revenge bt boold,한국추리작가협회 엮음,황금펜클럽:청어람,2017,"11,000"
BRP000453341,833.6-요39ㅈ,전기인간 : 요미사카 유지 장편 소설,요미사카 유지 지음 ; 주자덕 옮김,아프로스미디어,2017,"14,000"
BRP000453342,325.211-박69ㅎ,"확신만이 성공으로 가는 길 : 바꿀 수 없는 과거, 바꿀 수 있는 미래","박인태,손귀분 공저",넥센미디어,2020,"20,000"
BRP000453343,322.01-히235ㅍ,포스트 자본주의 : 과학·인간·사회의 미래,히로이 요시노리 지음 ; 박제이 옮김,에이케이커뮤니케이션즈,2017,"8,900"
BRP000453344,004.73-조67ㄷ,단단한 머신러닝 : 아이러브 인공지능 24 머신러닝 기본 개념을 제대로 정리한 인공지능 교과서,조우쯔화 지음 ; 김태헌 옮김,Jpub(제이펍),2020,"30,000"
BRP000453345,813.7-정69ㅅ-1,404 낫 파운드=404 NOT FOUND. 1,정이채 지음,로담,2020,"9,800"
BRP000453346,813.7-정69ㅅ-2,404 낫 파운드=404 NOT FOUND. 2,정이채 지음,로담,2020,"9,800"
BRP000453347,813.7-메239ㅇ-1,얄궂은 선배님 : 메리J 장편소설. 1,메리J 지음,가연,2020,"13,000"
BRP000453348,813.7-메239ㅇ-2,얄궂은 선배님 : 메리J 장편소설. 2,메리J 지음,가연,2020,"13,000"
BRP000453349,381.75-윌58ㅅ,식사에 대한 생각 : 세계는 점점 더 부유해지는데 우리의 식탁은 왜 갈수록 가난해지는가,비 윌슨 지음 ; 김하현 옮김,어크로스,2020,"17,800"
BRP000453350,592.91-한94ㅇ,(정성이 깃든) 우리 가족 한복 만들기,한혜정 저,핸디스 소잉스토리,2020,"16,000"
BRP000453352,813.7-김71ㅍ,프렘더 : 김자인 장편소설,김자인 지음,파란,2020,"13,000"
BRP000453353,594.019-아69ㅁ=2,맛있는 녀석들 : 먹어본 자들이 알려주는 전국 맛 가이드!,IHQ 미디어 지음 ; 장형심 레시피 정리,BM성안당,2020,"17,000"
BRP000453354,818-김57ㄱ,"김수미의 시방상담소 : 뭣 같은 세상, 대신 욕해드립니다",김수미 지음,알에이치코리아,2020,"14,800"
BRP000453355,813.7-이94ㅅ-3,사표 내겠습니다. 3,이현성 지음,단글,2020,"11,000"
BRP000453356,鄕 814.7-박51ㅇ,오늘 밤은 굶고 자야지 : 박상영 에세이,박상영 지음 ; 윤수훈 그림,한겨레,2020,"13,500"
BRP000453357,833.6-히11ㄴ,녹나무의 파수꾼,히가시노 게이고 지음 ; 양윤옥 옮김,소미미디어,2020,"17,800"
BRP000453358,863-카37ㅍ,페스트 : 1947년 오리지널 초판본 표지디자인,알베르 카뮈 지음 ; 변광배 옮김,더스토리,2020,"13,800"
BRP000453359,688.2-봉77ㄱ,기생충 각본집 & 스토리보드북,"봉준호,한진원 각본 ; 김대환 윤색",플레인,2019,"37,000"
BRP000453460,327.87-이53ㅅ,싱글맘 부동산 경매로 홀로서기,이선미 글 ; 송희창 감수,지혜로,2020,"16,000"
BRP000453461,327.04-바828ㄷ,"더 이상 가난한 부자로 살지 않겠다 : 하루 한 시간, 당신을 진짜 부자로 만들어 주는 라테 효과 3가지","데이비드 바크,존 데이비드 만 지음 ; 엄성수 옮김",Winner's Book(위너스북),2020,"15,000"
BRP000453462,199.1-김39ㅇ,이 한마디가 나를 살렸다 : 100번 넘어져도 101번 일으켜 세워준 김미경의 말,김미경 지음,21세기북스,2020,"16,000"
BRP000453463,813.7-김67ㅇ,연리지서 : 김유미 장편 소설,김유미 지음,스칼렛,2020,"13,000"
BRP000453464,813.7-하79ㅇ,얼음나무 숲 : 하지은 장편소설,하지은 지음,황금가지,2020,"15,800"
BRP000453465,813.7-성79ㄱ-1,공녀의 두 번째 시간 : 성지혜 장편소설. 1,성지혜 지음,로맨티카,2020,"14,800"
BRP000453467,813.7-이77ㅎ-1,"홍비, 짐승의 신부 : 이주안 장편소설. 1",이주안 지음,Terrace Book(테라스북),2020,"14,500"
BRP000453468,813.7-이77ㅎ-2,"홍비, 짐승의 신부 : 이주안 장편소설. 2",이주안 지음,Terrace Book(테라스북),2020,"14,500"
BRP000453469,843.505-앰48ㄷ,디미트리오스의 가면 : 애릭 앰블러 장편소설,에릭 앰블러 지음 ; 최용준 옮김,열린책들,2020,"13,800"
BRP000453470,833.6-이823ㅎ-4,"한자와 나오키. 4, 이카로스 최후의 도약",이케이도 준 지음 ; 이선희 옮김,인플루엔셜,2020,"15,000"
BRP000453471,813.7-류92ㅇ-1,우아하게 이별하기 : 류향 장편소설. 1,류향 지음,신영미디어,2020,"9,000"
BRP000453472,813.7-류92ㅇ-2,우아하게 이별하기 : 류향 장편소설. 2,류향 지음,신영미디어,2020,"9,000"
BRP000453473,813.7-김79ㅇ-1,여섯 번째 별 : 김지유 로맨스판타지. 1,김지유 지음,페퍼민트,2020,"9,000"
BRP000453474,813.7-김79ㅇ-2,여섯 번째 별 : 김지유 로맨스판타지. 2,김지유 지음,페퍼민트,2020,"9,000"
BRP000453475,823.7-지63ㅊ-25,천재소독비. 25,"지에모 지음 ; 전정은,홍지연 옮김",파란썸:파란미디어,2020,"15,000"
BRP000453476,823.7-지63ㅊ-26,천재소독비. 26,"지에모 지음 ; 전정은,홍지연 옮김",파란썸:파란미디어,2020,"15,000"
BRP000453477,440.99-이63ㅎ,허블 : 우주의 심연을 관측하다,이에 마사노리 지음 ; 김효진 옮김,AK(에이케이커뮤니케이션즈),2017,"8,900"
BRP000453478,005.132-원69ㅇ,(게임처럼 쉽고 재미있게 배우는) 어셈블리 언어 튜토리얼,원일용 지음,북스홀릭 Publishing,2019,"25,000"
BRP000453479,327.87-신75ㅁ,무조건 이기는 부동산 경매 수업 : 저축만큼 쉽고 안전한 경매 따라하기,신종승 지음,원앤원북스,2020,"17,000"
BRP000453480,818-김55ㄱ,가끔 사는 게 창피하다 : (나에게) 상처 주고도 아닌 척했던 날들에 대해,김소민 지음,한겨레출판,2020,"13,500"
BRP000453481,325.8-손67ㅅ,(내용은 쉽고 업무는 빠르게 실무에 바로 써먹는) 세법개론 실무·경리 세무조사·창업 부가세 실무·법인 종합소득세 업무 설명서 : 경영지원 실무사용자 매뉴얼,손원준 지음,지식만들기,2020,"33,000"
BRP000453482,325.211-마239ㄴ,나의 첫 불렛저널=Bullet journal,Marie 지음 ; 김은혜 옮김,한빛비즈,2018,"13,500"
BRP000453483,813.7-설91ㄴ-1,남편을 기억하는 법 : 설하린 장편소설. 1,설하린 지음,봄출판사,2020,"9,000"
BRP000453484,813.7-설91ㄴ-2,남편을 기억하는 법 : 설하린 장편소설. 2,설하린 지음,봄출판사,2020,"9,000"
BRP000453485,224.81-임75,임종조념 왕생성불 : 臨終三大要·飭終須知·臨從助念答問 : 정종수행(淨宗修行) 중요법문,무량수여래회 편역,비움과소통,2019,"18,500"
BRP000453486,223.56-불53,불설대승무량수장엄청정평등각경 : 보급판 불설무량수경 : 하련거 거사 회집,하련거 회집 ; 무량수여래회 편역,비움과소통,2019,"8,800"
BRP000453487,331.15-매829ㅍ,포스트트루스 : 가짜 뉴스와 탈진실의 시대,리 매킨타이어 지음 ; 김재경 옮김 ; 정준희 해제,두리반,2019,"16,000"
BRP000453488,813.7-유91ㅇ-13,인소의 법칙. 13,유한려 지음 ; 솔 그림,디앤씨미디어:잇북,2020,"10,500"
BRP000453489,813.7-임69ㅂ,비를 닮은 여름이었다 : 임이현 장편소설,임이현 지음,동아,2020,"9,500"
BRP000453493,823.5-여53ㅈ,(하룻밤에 읽는) 제갈공명,여설하 편역,모든북,2020,"14,000"
BRP000453494,863-보219ㅂ,128호실의 원고,카티 보니당 지음 ; 안은주 옮김,한스미디어,2020,"15,000"
BRP000453495,843.6-피58ㅊ,1974 : 데이비드 피스 장편소설,데이비드 피스 지음 ; 김시현 옮김,문학동네,2020,"15,000"
BRP000453496,843.6-피58ㅊ,1977 : 데이비드 피스 장편소설,데이비드 피스 지음 ; 김시현 옮김,문학동네,2020,"15,000"
BRP000453497,981.02-이73ㅇ,1만리 한반도 둘레길 : 나의 길 백두산과 북간도와 연해주,이정우 지음,한솜미디어,2020,"16,000"
BRP000453499,812.6-신817-2020,(2020) 신춘문예 희곡 당선 작품집,"김미령,조지민,정승애,연지아,김지우,김준현,임지수,이홍도 지음",월인,2020,"13,000"
BRP000453500,813.6-올92-2020,(현대문학 교수 350명이 뽑은) 2020 올해의 문제소설,한국현대소설학회 엮음,푸른사상,2020,"15,900"
BRP000453501,818-김42ㅅ,"365일, 교도소를 읽다",김백윤 지음,북랩,2020,"13,800"
BRP000453502,863-상228ㅅ,405호실의 기적 : 쥘리앵 상드렐 장편소설,쥘리앵 상드렐 지음 ; 유민정 옮김,달의시간,2020,"14,500"
BRP000453504,811.7-신94ㅊ,7초간의 포옹 : 신현림 시집,신현림 지음,민음사,2020,"10,000"
BRP000453505,818-이11ㅇ,Y談 : 한국인의 웃음과 지혜,이강래 엮음,문지사,2020,"14,000"
BRP000453506,811.7-김53ㅁ,미지의 흰새 알바트로스 : 김선옥 시집,김선옥,시로여는세상,2020,"10,000"
BRP000453507,818-김55ㄱ=2,가끔 사는 게 창피하다 : (나에게) 상처 주고도 아닌 척했던 날들에 대해,김소민 지음,한겨레출판,2020,"13,500"
BRP000453508,833.6-가59ㄱ-2,가모가와 식당 : 마음을 훈훈하게 감싸주는 탐정사무소 : 가시와이 히사시 장편소설. 2,가시와이 히사이 지음 ; 김진아 옮김,문학사상사,2020,"13,500"
BRP000453509,816.7-김64ㄱ,가브리엘 샤넬을 찾아가는 길,김영일 글·그림·사진,UB＆co,2019,"15,000"
BRP000453510,813.7-성59ㄱ,가해자는 울지 않는다,성실 지음,다른,2020,"13,000"
BRP000453511,843.6-쿡235ㄱ,감염,로빈 쿡 지음 ; 홍영의 옮김,오늘,2020,"14,800"
BRP000453512,883-테238ㄱ,"개, 늑대, 그리고 하느님",폴코 테르차니 지음 ; 니콜라 마그린 그림 ; 이현경 옮김,나무옆의자,2020,"14,000"
BRP000453513,813.7-정34ㄱ,개봉동 명탐정,정명섭 지음,북멘토,2019,"12,000"
BRP000453514,811.7-이64ㄱ,걷는다는 것 : 이영권 시집,이영권 지음,서정문학,2020,"10,000"
BRP000453515,813.7-박64ㄱ,게스트하우스 Q : 박영란 장편소설,박영란 지음,창비,2020,"12,000"
BRP000453516,823.7-루57ㄱ,고독자 : 루쉰 소설,루쉰 지음 ; 자오옌녠 판화 ; 이욱연 옮김,문학동네,2020,"13,000"
BRP000453517,863-비11ㄱ,고마운 마음,델핀 드 비강 지음 ; 윤석헌 옮김,레모,2020,"14,000"
BRP000453518,鄕 813.7-정221ㄱ,"고서 사냥꾼, 광야를 달리다 : 정다운 장편소설",정다운 지음,청어,2020,"13,000"
BRP000453519,鄕 813.7-정221ㄱ=2,"고서 사냥꾼, 광야를 달리다 : 정다운 장편소설",정다운 지음,청어,2020,"13,000"
BRP000453520,844-혼58ㄱ,고양이가 죽기를 기다리며 : 40대 독신 작가의 비망록,스테이시 혼 지음 ; 박미경 옮김,연암서가,2020,"16,000"
BRP000453521,811.7-김77ㄱ,고양이를 입어야 한다 : 김준연 시집,김준연 지음,시인동네,2020,"9,000"
BRP000453522,814.7-신68ㄱ,공감의 온도,신은영 지음,책엔,2020,"15,000"
BRP000453523,841-리819ㄱ,공통언어를 향한 꿈,에이드리언 리치 지음 ; 허현숙 옮김,민음사,2020,"13,000"
BRP000453524,843.6-오33ㄱ,광기와 치유의 책 : 레지나 오멜버니 장편소설,레지나 오멜버니 지음 ; 허형은 옮김,문학동네,2020,"15,800"
BRP000453526,833.6-쿠231ㄱ,괴물 나무꾼,쿠라이 마유스케 지음 ; 구수영 옮김,위즈덤하우스,2020,"12,000"
BRP000453527,969.8-그232ㄱ,궁극의 탐험 : 남극 횡단의 역사가 된 남자,데이비드 그랜 지음 ; 박설영 옮김,프시케의숲,2020,"13,000"
BRP000453528,818-권211ㄱ,귀찮지만 행복해볼까 : 번역가 권남희의 에세이집,권남희 지음,상상출판,2020,"13,800"
BRP000453529,鄕 811.7-김211ㄱ,그것도 사랑 : 많이 사랑해 주지 말기 : 들꽃나영 시집,김나영 지음,바른북스,2020,"13,000"
BRP000453530,818-시73ㄱ,그날의 격동 : 그녀의 마음속 113가지 이야기,시절 지음,보민출판사,2020,"12,000"
BRP000453531,811.7-백39ㄱ,"그대, 기침하셨는가 : 백미숙 시집",백미숙 지음,채운재,2020,"10,000"
BRP000453532,813.7-장39ㄱ,그래도 명랑하게 살아간다 : 장미 장편소설,장미 지음,단비,2019,"11,000"
BRP000453533,863-로73ㄱ,그레구아르와 책방 할아버지 : 마르크 로제 장편소설,마르크 로제 지음 ; 윤미연 옮김,문학동네,2020,"13,800"
BRP000453534,843.6-달813ㄱ,그리고 여자들은 침묵하지 않았다,크리스티나 달처 지음 ; 고유경 옮김,다산책방:다산북스,2020,"15,800"
BRP000453535,843.6-달813ㄱ=2,그리고 여자들은 침묵하지 않았다,크리스티나 달처 지음 ; 고유경 옮김,다산책방:다산북스,2020,"15,800"
BRP000453536,650.4-김77ㄱ,그리니까 좋다 : 김중석 그림 에세이,김중석 지음,창비,2020,"20,000"
BRP000453537,818-십69ㄱ,그리하여 어느 날 : 기댈 곳 없는 사람과 갈 곳 없는 고양이가 만나 시작된 작은 기적,11월 글·사진,아라크네,2020,"17,000"
BRP000453538,843-밀845ㄱ-1,그린글라스 하우스. 1,케이트 밀포드 지음 ; 김경연 옮김,현암주니어,2020,"12,500"
BRP000453539,843-밀845ㄱ-2,그린글라스 하우스. 2,케이트 밀포드 지음 ; 김경연 옮김,현암주니어,2020,"12,500"
BRP000453540,813.7-김73ㄱ,그린펜션 : 그 가을 펜션을 둘러싼 비밀 : 김제철 소설,김제철 지음,작가와비평,2020,"12,800"
BRP000453541,818-신225ㅇ,어머니 : 그토록 오래고 그토록 아름다운 이름,신동진 글,문학의문학,2020,"13,000"
BRP000453542,811.7-정69ㄱ,금지구역 침입자 : 정일남 시집,정일남 지음,넓은마루,2020,"10,000"
BRP000453543,688.2-봉77ㄱ=2,기생충 각본집 & 스토리보드북,"봉준호,한진원 각본 ; 김대환 윤색",플레인,2019,"37,000"
BRP000453544,814.7-박222ㄱ,기억을 잃기 전에 남기고 싶은 기억들 : 박대위 산문집,박대위 지음,창조문예사,2020;,"10,000"
BRP000453545,834-나58ㄱ,긴 봄날의 짧은 글 : 나쓰메 소세키 산문,나쓰메 소세키 지음 ; 손정임 옮김,반니,2020,"12,500"
BRP000453546,818-김57ㄱ=2,"김수미의 시방상담소 : 뭣 같은 세상, 대신 욕해드립니다",김수미 지음,알에이치코리아,2020,"14,800"
BRP000453547,鄕 813.7-심11ㄲ,꽁치가 숨쉬는 방 : 심강우 소설,심강우 지음,문이당,2020,"13,000"
BRP000453548,鄕 813.7-심11ㄲ=2,꽁치가 숨쉬는 방 : 심강우 소설,심강우 지음,문이당,2020,"13,000"
BRP000453549,338.604-꽃45,꽃 보고 한 걸음 구름 보고 한 걸음 : 돌봄종사자들의 그림 이야기,"한국의료복지사회적협동조합연합회,그림책미술관시민모임 엮음",만만한책방,2020,"15,000"
BRP000453550,鄕 811.36-김225ㄲ,"꽃통곡, 엉엉 붉어라 : 김동호 시조집",김동호 지음,달아실,2020,"8,000"
BRP000453551,鄕 811.36-김225ㄲ=2,"꽃통곡, 엉엉 붉어라 : 김동호 시조집",김동호 지음,달아실,2020,"8,000"
BRP000453552,鄕 818-서72ㄲ,꿈을 꾼다,서재중학교 책쓰기 동아리 지음 ; 신현방 엮음,바른북스,2020,"13,800"
BRP000453553,鄕 818-서72ㄲ=2,꿈을 꾼다,서재중학교 책쓰기 동아리 지음 ; 신현방 엮음,바른북스,2020,"13,800"
BRP000453555,833.6-시235ㄴ,나는 고양이지만 나쓰메 씨를 찾고 있습니다,시로노 고네코 지음 ; 김진아 옮김,직선과곡선,2020,"13,000"
BRP000453556,813.7-최58ㄴ,나는 버스를 탄다,최승희 지음,뭉클스토리,2020,"15,000"
BRP000453557,813.7-송39ㄴ,나는 새를 봅니까? : 송미경 소설,송미경 지음,문학동네,2020,"11,500"
BRP000453558,337.04-오831ㄴ,나로 살기 위해 오늘도 일하다 : 일과 생활이 조화로운 삶을 꿈꾸는 당신에게,오타키 준코 지음 ; 최윤영 옮김,탐나는책,2020,"15,000"
BRP000453559,818-유34ㄴ,나로 태어나줘서 고마워,유명현 지음,글라이더,2020,"13,800"
BRP000453560,838-히235ㄴ,나를 믿으며 살아도 괜찮아요 : '다르게 살고 싶다'고 생각한 마흔 즈음부터,히로세 유코 지음 ; 박정임 옮김,Indigo:글담출판사,2020,"10,000"
BRP000453561,802-정98ㄴ=2,나를 알기 위해서 쓴다,정희진 지음,교양인,2020,"14,000"
BRP000453562,818-박811ㄴ,나만 없는 낭만 : 박찬철 산문집,박찬철 지음,문학공감,2020,"12,000"
